x,y,v,angle
2.1,197.95000000000002,20.0,0.0
4.1,197.95000000000002,20.0,0.0
6.1,197.95000000000002,20.0,0.0
8.1,197.95000000000002,20.0,0.0
10.1,197.95000000000002,20.0,0.0
12.099999999999998,197.95000000000002,20.0,0.0
14.1,197.95000000000002,20.0,0.0
16.1,197.95000000000002,20.0,0.0
18.1,197.95000000000002,20.0,0.0
20.1,197.95000000000002,20.0,0.0
22.1,197.95000000000002,20.0,0.0
24.099999999999998,197.95000000000002,20.0,0.0
26.1,197.95000000000002,20.0,0.0
28.1,197.95000000000002,20.0,0.0
30.1,197.95000000000002,20.0,0.0
32.1,197.95000000000002,20.0,0.0
34.1,197.95000000000002,20.0,0.0
36.1,197.95000000000002,20.0,0.0
38.1,197.95000000000002,20.0,0.0
40.1,197.95000000000002,20.0,0.0
42.1,197.95000000000002,20.0,0.0
44.1,197.95000000000002,20.0,0.0
46.1,197.95000000000002,20.0,0.0
48.1,197.95000000000002,20.0,0.0
50.1,197.95000000000002,20.0,0.0
52.1,197.95000000000002,20.0,0.0
54.1,197.95000000000002,20.0,0.0
56.1,197.95000000000002,20.0,0.0
58.1,197.95000000000002,20.0,0.0
60.1,197.95000000000002,20.0,0.0
62.10000000000001,197.95000000000002,20.0,0.0
64.1,197.95000000000002,20.0,0.0
66.1,197.95000000000002,20.0,0.0
68.1,197.95000000000002,20.0,0.0
70.1,197.95000000000002,20.0,0.0
72.1,197.95000000000002,20.0,0.0
74.1,197.95000000000002,20.0,0.0
76.1,197.95000000000002,20.0,0.0
78.1,197.95000000000002,20.0,0.0
80.1,197.95000000000002,20.0,0.0
82.1,197.95000000000002,20.0,0.0
84.1,197.95000000000002,20.0,0.0
86.1,197.95000000000002,20.0,0.0
88.1,197.95000000000002,20.0,0.0
90.1,197.95000000000002,20.0,0.0
92.1,197.95000000000002,20.0,0.0
94.1,197.95000000000002,20.0,0.0
96.1,197.95000000000002,20.0,0.0
98.1,197.95000000000002,20.0,0.0
100.10000000000001,197.95000000000002,20.0,0.0
102.1,197.95000000000002,20.0,0.0
104.10000000000001,197.95000000000002,20.0,0.0
106.1,197.95000000000002,20.0,0.0
108.09999999999998,197.95000000000002,20.0,0.0
110.1,197.95000000000002,20.0,0.0
112.09999999999998,197.95000000000002,20.0,0.0
114.1,197.95000000000002,20.0,0.0
116.1,197.95000000000002,20.0,0.0
118.1,197.95000000000002,20.0,0.0
120.1,197.95000000000002,20.0,0.0
122.1,197.95000000000002,20.0,0.0
124.1,197.95000000000002,20.0,0.0
126.10000000000001,197.95000000000002,20.0,0.0
128.1,197.95000000000002,20.0,0.0
130.1,197.95000000000002,20.0,0.0
132.1,197.95000000000002,20.0,0.0
134.1,197.95000000000002,20.0,0.0
136.1,197.95000000000002,20.0,0.0
138.1,197.95000000000002,20.0,0.0
140.1,197.95000000000002,20.0,0.0
142.1,197.95000000000002,20.0,0.0
144.1,197.95000000000002,20.0,0.0
146.1,197.95000000000002,20.0,0.0
148.1,197.95000000000002,20.0,0.0
150.1,197.95000000000002,20.0,0.0
152.1,197.95000000000002,20.0,0.0
154.1,197.95000000000002,20.0,0.0
156.1,197.95000000000002,20.0,0.0
158.1,197.95000000000002,20.0,0.0
160.1,197.95000000000002,20.0,0.0
162.1,197.95000000000002,20.0,0.0
164.1,197.95000000000002,20.0,0.0
166.1,197.95000000000002,20.0,0.0
168.1,197.95000000000002,20.0,0.0
170.1,197.95000000000002,20.0,0.0
172.1,197.95000000000002,20.0,0.0
174.1,197.95000000000002,20.0,0.0
176.1,197.95000000000002,20.0,0.0
178.1,197.95000000000002,20.0,0.0
180.1,197.95000000000002,20.0,0.0
182.1,197.95000000000002,20.0,0.0
184.1,197.95000000000002,20.0,0.0
186.1,197.95000000000002,20.0,0.0
188.1,197.95000000000002,20.0,0.0
190.1,197.95000000000002,20.0,0.0
192.1,197.95000000000002,20.0,0.0
194.1,197.95000000000002,20.0,0.0
196.1,197.95000000000002,20.0,0.0
198.1,197.95000000000002,20.0,0.0
200.1,197.95000000000002,20.0,0.0
202.1,197.95000000000002,20.0,0.0
204.1,197.95000000000002,20.0,0.0
206.1,197.95000000000002,20.0,0.0
208.10000000000002,197.95000000000002,20.0,0.0
210.10000000000002,197.95000000000002,20.0,0.0
212.10000000000002,197.95000000000002,20.0,0.0
214.10000000000002,197.95000000000002,20.0,0.0
216.10000000000002,197.95000000000002,20.0,0.0
218.10000000000002,197.95000000000002,20.0,0.0
220.10000000000002,197.95000000000002,20.0,0.0
222.10000000000002,197.95000000000002,20.0,0.0
224.10000000000002,197.95000000000002,20.0,0.0
226.10000000000002,197.95000000000002,20.0,0.0
228.10000000000002,197.95000000000002,20.0,0.0
230.10000000000002,197.95000000000002,20.0,0.0
232.10000000000002,197.95000000000002,20.0,0.0
234.10000000000002,197.95000000000002,20.0,0.0
236.10000000000002,197.95000000000002,20.0,0.0
238.10000000000002,197.95000000000002,20.0,0.0
240.10000000000002,197.95000000000002,20.0,0.0
242.10000000000002,197.95000000000002,20.0,0.0
244.10000000000002,197.95000000000002,20.0,0.0
246.10000000000002,197.95000000000002,20.0,0.0
248.10000000000002,197.95000000000002,20.0,0.0
250.10000000000002,197.95000000000002,20.0,0.0
252.10000000000002,197.95000000000002,20.0,0.0
254.10000000000002,197.95000000000002,20.0,0.0
256.1,197.95000000000002,20.0,0.0
258.1,197.95000000000002,20.0,0.0
260.1,197.95000000000002,20.0,0.0
262.1,197.95000000000002,20.0,0.0
264.1,197.95000000000002,20.0,0.0
266.1,197.95000000000002,20.0,0.0
268.1,197.95000000000002,20.0,0.0
270.1,197.95000000000002,20.0,0.0
272.1,197.95000000000002,20.0,0.0
274.1,197.95000000000002,20.0,0.0
276.1,197.95000000000002,20.0,0.0
278.1,197.95000000000002,20.0,0.0
280.1,197.95000000000002,20.0,0.0
282.1,197.95000000000002,20.0,0.0
284.1,197.95000000000002,20.0,0.0
286.1,197.95000000000002,20.0,0.0
288.1,197.95000000000002,20.0,0.0
290.1,197.95000000000002,20.0,0.0
292.1,197.95000000000002,20.0,0.0
294.1,197.95000000000002,20.0,0.0
296.1,197.95000000000002,20.0,0.0
298.1,197.95000000000002,20.0,0.0
300.1,197.95000000000002,20.0,0.0
302.1,197.95000000000002,20.0,0.0
304.1,197.95000000000002,20.0,0.0
306.1,197.95000000000002,20.0,0.0
308.1,197.95000000000002,20.0,0.0
310.1,197.95000000000002,20.0,0.0
312.1,197.95000000000002,20.0,0.0
314.1,197.95000000000002,20.0,0.0
316.1,197.95000000000002,20.0,0.0
318.1,197.95000000000002,20.0,0.0
320.1,197.95000000000002,20.0,0.0
322.1,197.95000000000002,20.0,0.0
324.1,197.95000000000002,20.0,0.0
326.1,197.95000000000002,20.0,0.0
328.1,197.95000000000002,20.0,0.0
330.1,197.95000000000002,20.0,0.0
332.1,197.95000000000002,20.0,0.0
334.1,197.95000000000002,20.0,0.0
336.1,197.95000000000002,20.0,0.0
338.1,197.95000000000002,20.0,0.0
340.1,197.95000000000002,20.0,0.0
342.1,197.95000000000002,20.0,0.0
344.1,197.95000000000002,20.0,0.0
346.1,197.95000000000002,20.0,0.0
348.1,197.95000000000002,20.0,0.0
350.1,197.95000000000002,20.0,0.0
352.1,197.95000000000002,20.0,0.0
354.1,197.95000000000002,20.0,0.0
356.1,197.95000000000002,20.0,0.0
358.1,197.95000000000002,20.0,0.0
360.1,197.95000000000002,20.0,0.0
362.1,197.95000000000002,20.0,0.0
364.1,197.95000000000002,20.0,0.0
366.1,197.95000000000002,20.0,0.0
368.1,197.95000000000002,20.0,0.0
370.1,197.95000000000002,20.0,0.0
372.1,197.95000000000002,20.0,0.0
374.1,197.95000000000002,20.0,0.0
376.1,197.95000000000002,20.0,0.0
378.1,197.95000000000002,20.0,0.0
380.1,197.95000000000002,20.0,0.0
382.1,197.95000000000002,20.0,0.0
384.1,197.95000000000002,20.0,0.0
386.1,197.95000000000002,20.0,0.0
388.1,197.95000000000002,20.0,0.0
390.1,197.95000000000002,20.0,0.0
392.1,197.95000000000002,20.0,0.0
394.1,197.95000000000002,20.0,0.0
396.1,197.95000000000002,20.0,0.0
398.1,197.95000000000002,20.0,0.0
